restaurantreview,1
ordered,1031
take,352
super,418
impressed,95
first,462
meals,120
prepared,92
quickly,157
portions,399
good,2643
size,249
tasted,271
amazing,597
small,700
sized,30
spicy,619
coconut,154
soup,1284
chicken,967
arrived,133
warm,150
need,143
heat,55
nice,767
creamy,43
amount,160
next,291
general,204
tao,147
phaw,4
sew,17
share,138
crispy,220
portion,282
quality,302
meat,414
inside,225
however,311
favourite,134
lots,157
flavour,174
like,1346
garlic,73
love,504
overall,349
great,1517
value,62
depending,18
hungry,133
could,432
definitely,731
left,174
overs,4
day,348
also,1004
tons,29
fish,187
vegetarian,378
options,278
worst,74
takeout,90
ive,623
ever,357
life,76
one,1202
think,328
weeks,28
later,89
cringe,3
two,390
pad,369
thais,6
awful,43
threw,6
didnt,555
even,640
twice,79
actual,37
mush,3
still,344
trying,119
wrap,10
head,29
around,329
restaurant,1475
serve,92
food,3351
visit,237
long,325
time,935
eating,247
asian,258
friend,286
huge,282
thai,871
came,690
upon,57
resto,60
beautiful,169
sunny,9
saturday,69
walked,106
approached,2
vaccine,4
passport,4
id,169
chose,55
enjoy,181
sun,10
sat,94
terrace,63
monkland,10
village,13
menu,887
variety,159
different,287
dishes,721
flavours,103
dont,677
know,293
im,611
big,362
sorts,9
started,81
fried,439
imperial,80
rolls,292
served,264
plum,7
sauce,670
side,299
main,190
basilserved,2
veggies,115
sticky,52
white,111
rice,476
meal,496
except,63
drown,2
chilli,29
paste,57
lol,59
always,437
someone,98
enjoys,3
foods,41
service,1557
enjoyed,225
company,8
humorous,3
á,2
la,87
prochaine,2
fois,5
web,3
app,15
made,485
ordering,150
easy,58
delivery,86
fast,310
curry,440
terrific,14
located,119
theres,180
outdoor,39
perfect,296
open,108
air,29
weather,41
vast,4
starters,15
soups,111
noodles,1692
curries,37
red,185
green,240
yellow,41
seafood,111
shrimp,342
beef,1068
desserts,49
peanut,136
butter,47
dumplings,468
order,716
musthave,2
tend,29
bit,549
prices,254
little,649
expensive,115
veggie,111
used,188
give,279
lunch,412
specials,24
cheaper,27
price,403
whats,28
going,272
bangkok,14
coming,175
years,172
plenty,87
space,131
large,387
eat,527
alcohol,14
deliver,14
pice,3
ok,198
cheap,156
fare,33
single,32
dish,702
cant,282
understand,52
place,2549
flavors,150
consistent,18
second,106
go,957
quantity,34
much,559
less,131
tofu,247
vegetables,190
mushroom,62
milk,85
plates,136
things,171
common,13
thats,184
put,155
salt,76
disappointed,202
let,95
staff,457
comments,10
seem,84
surprised,77
see,269
chef,94
changed,45
complexity,3
sticking,5
recipe,13
ill,117
wait,421
back,934
miss,59
way,339
use,113
taste,523
several,88
times,231
noisy,22
hard,165
surfaced,2
soupe,17
atmosphere,245
cool,138
crowd,44
loud,69
slow,145
least,120
waitress,168
courteous,35
candles,5
tables,256
believe,61
four,64
ago,82
better,438
remember,71
today,56
gone,35
went,470
get,917
papaya,80
salads,112
meh,25
spend,36
money,69
siam,43
instead,136
customer,88
isnt,107
best,800
filthy,6
horrible,51
everything,407
drowning,2
sauces,36
sick,24
low,56
end,147
garbage,11
favour,9
somewhere,33
else,136
lot,295
crab,47
frozen,33
feet,7
poor,59
costs,11
bucks,6
doesnt,124
worth,332
spring,219
roll,123
thick,103
paper,25
mostly,68
filled,89
vermicelli,93
proteins,1
staffs,13
considerate,2
firstly,5
mistakes,3
ask,179
utensils,23
wasnt,360
either,144
visiting,102
nearby,34
popped,12
quick,297
dinner,293
never,294
neighborhood,30
quite,452
lively,18
looking,272
seems,98
unremarkable,1
twist,13
ingredients,158
added,109
omitted,1
presented,38
guess,74
call,55
neo,1
eventhough,2
pure,15
found,231
well,673
balanced,26
salty,143
sweet,363
salad,627
thom,1
kha,10
stir,54
fry,34
chow,56
mein,31
looked,130
dried,15
fresh,623
fine,100
sure,298
