web-scraper-order,web-scraper-start-url,restaurant_link,restaurant_link-href,next_page,review,rating
"1666666728-2946","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","Amazing salad place. 

The decor is pink and very cute, it's filled with fresh flowers and very welcoming. 

We ordered 3 kinds of salads, and honestly all were great. I don't like salad in general, but this place changed my mind about it. Unlike salad bars stateside, the bowl was full and the dressing was light and flavorful. My favorite was the one with fake chicken, the balsamic based sauce was sweet and tangy, paired well with the mango bits and walnuts. The fake chicken was just like the real thing.","5 star rating"
"1666666728-2947","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","Are the salads expensive? Yes. Was it one of the best salads I've ever had? Absolute yes. 

If you're craving vegetables or just want something healthy, stop by Mandy's. You won't regret it. It's not a five star dining experience, and yes you may feel like you're overpaying, but I delighted in every bite and to this day I don't regret my dining experience there.","5 star rating"
"1666666728-2948","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","I can't stop coming back here for lunch. My favorite salad is the Endless summer -without pomegranate seeds as I don't like the texture. 
The mock chicken is really good but I prefer it on the side so it's not soggy and incorporate it into the salad as I go. 

The vegan cookies are chunky and moist and have a little bit of ""raw cookie dough"" feel to it. They are perfect.","5 star rating"
"1666666728-2949","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","Loved the salad selection! You can chose your protein & get the salad dressed or drsg on the side. Order at the counter, get your # & have a seat; they will bring the food to you.","5 star rating"
"1666666728-2950","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","When you possibly tire of Pizza and Poutine in this eclectic Old Port there is an excellent salad spot on Rue St Nick. I ordered the ""Wolfe"", full of goodies like kale, quinoa and so much more I dove deep to finish the large bowl. The only place I found that makes salad a complete meal. Also glad to hear no plastic is used and compostables are used as to go containers. Did you know some parts of Canada forbid food waste in the landfill?! Tres Bien!","5 star rating"
"1666666728-2951","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","Very good salad place. With a variety of different options, I definitely recommend this place if you are a salad fan. They do have 3 options for kids salads but that's it. They have a few pastries but it's mainly delicious salad. I will say the chips aren't Mexican style chips, there more like Stacy's chips. It's is also a very good place to take pictures. It's very aesthetic!!","5 star rating"
"1666666728-2952","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","Such a cute spot for a hearty bowl of salad. I dined alone and noticed others were also eating alone so it didn't feel awkward or uncomfortable as I had initially thought it might be. No one seemed to be rushing, they were just sitting and enjoying their salad. There was a nice relaxing vibe to this Mandy's location. There were some tables situated outside for anyone who wanted to enjoy the sunshine, but it was a bit too warm for my liking. I had walked by a different Mandy's location near the Bay earlier and it was a much smaller shop that had no indoor seating. The ambience and aesthetic of this location was elite. I would definitely come back again.","5 star rating"
"1666666728-2953","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","Eclectic and cozy hangout. Great spot to have lunch or grab a mid afternoon coffee and read your favourite book. Salads are huge and so flavourful. Highly recommend the Tokyo chopped salad.","4 star rating"
"1666666728-2954","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","There is an art form to keeping it simple. We were definitely hungry, but did not want a heavy meal that was going to make us lethargic. Answer is Mandy's! So fresh and delicious, it is everything we were looking for. Some unique ingredients make a simple salad pop to life with excitement! Thank you for the pleasant surprise!","5 star rating"
"1666666728-2955","https://www.yelp.ca/search?find_desc=thai+food&find_loc=Montreal%2C+QC&start=120","Mandy’s","https://www.yelp.ca/biz/mandys-montr%C3%A9al?osq=thai+food","","Great affordable salads and great service. The dressings are very flavorful and not too heavy. The duck in the hoisin duck salad was delicious and packed with flavor.","5 star rating"
